A1,B1,C1,D1,E1,A2,A3,A4,B2,B3,B4,C2,C3,C4,D2,D3,D4,E2,E3,E4,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0.044,0.044,0.044,0.044,0.045,0.406,0.389,0.374,0.132,0.144,0.14,0.068,0.068,0.07,0.057,0.059,0.058,0.054,0.054,0.054,2.087,1.09,0.556,0.311,0.176,0.112,0.078,0.061,0.052,0.043,2.092,1.131,0.594,0.332,0.19,0.118,0.081,0.062,0.053,0.042,2.03,1.081,0.568,0.317,0.182,0.115,0.081,0.062,0.054,0.041
0.044,0.045,0.045,0.046,0.045,0.499,0.486,0.465,0.187,0.197,0.191,0.087,0.085,0.088,0.071,0.073,0.072,0.068,0.069,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.044,0.044,0.045,0.046,0.045,0.591,0.58,0.556,0.243,0.248,0.241,0.106,0.103,0.106,0.084,0.087,0.085,0.083,0.083,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.044,0.044,0.045,0.045,0.045,0.685,0.677,0.647,0.295,0.3,0.288,0.125,0.12,0.123,0.098,0.101,0.099,0.098,0.098,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.043,0.044,0.044,0.045,0.046,0.778,0.771,0.738,0.349,0.352,0.341,0.144,0.138,0.141,0.112,0.115,0.113,0.112,0.113,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.044,0.044,0.044,0.044,0.045,0.872,0.868,0.832,0.404,0.405,0.391,0.163,0.156,0.16,0.128,0.129,0.127,0.127,0.129,0.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.045,0.044,0.045,0.045,0.045,0.966,0.963,0.924,0.462,0.459,0.443,0.183,0.174,0.178,0.142,0.144,0.142,0.143,0.144,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.044,0.044,0.044,0.045,0.045,1.059,1.064,1.017,0.515,0.511,0.496,0.202,0.192,0.196,0.157,0.159,0.157,0.158,0.16,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.045,0.044,0.045,0.045,0.045,1.153,1.153,1.111,0.57,0.563,0.549,0.222,0.21,0.215,0.172,0.175,0.172,0.174,0.176,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.045,0.044,0.044,0.045,0.045,1.244,1.25,1.204,0.626,0.617,0.602,0.242,0.228,0.234,0.187,0.19,0.188,0.19,0.192,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.044,0.044,0.045,0.045,0.045,1.337,1.345,1.295,0.681,0.673,0.655,0.258,0.247,0.253,0.203,0.205,0.203,0.206,0.208,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.045,0.044,0.045,0.045,0.045,1.428,1.437,1.386,0.737,0.725,0.718,0.277,0.268,0.273,0.219,0.221,0.219,0.223,0.225,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.045,0.044,0.045,0.045,0.045,1.518,1.531,1.477,0.793,0.782,0.764,0.298,0.285,0.292,0.235,0.237,0.235,0.239,0.241,0.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.045,0.044,0.045,0.045,0.045,1.607,1.623,1.567,0.85,0.834,0.818,0.317,0.304,0.311,0.251,0.253,0.251,0.256,0.258,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.044,0.044,0.044,0.045,0.045,1.693,1.712,1.655,0.906,0.892,0.868,0.337,0.323,0.331,0.267,0.269,0.267,0.272,0.275,0.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
